Continent,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa,Algeria,DZA,,,,,,,,,,,2.661,2.661,2.6399,2.9807,3.2823,3.6534,4.1244,4.5409,5.1943,5.6681,6.2158,6.7851,7.0963,7.6044,8.1588,12.4098,12.5378,12.6655,12.7079,12.9295,15.8086,16.8803,16.8012,16.9609,15.5212,15.11,14.9641,15.0132,15.4611,16.4715,16.8469,17.0412,19.3579,21.7604,22.025,24.1619,25.6265,27.6012,29.1924,30.5164,31.7105,34.2189,38.6433,40.2637,43.5052,46.4091,45.1858,44.6934,45.4601,45.6034,40.4659,43.3215,44.4738,46.5578
Europe,Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,Angola,AGO,,,,,,,,,,,1.0262,1.0262,1.7155,1.4475,1.3019,1.0984,1.107,0.6488,1.333,1.0552,0.9961,0.8719,0.8559,0.7771,0.7024,1.0394,1.0261,1.042,1.2429,1.304,1.0165,1.2574,1.187,1.2119,1.541,1.0709,0.988,1.0521,0.8342,1.1566,1.0745,1.2045,1.4808,2.7543,3.4525,2.4766,3.2932,3.8961,5.2039,5.7572,5.6836,6.2762,6.7414,7.6988,7.9394,7.983,7.9134,6.7212,6.9462,7.9339,3.8998,7.09,8.1334,8.4967
North America,Antigua and Barbuda,ATG,,,,,,,,,,,0.0074,0.0074,0.006,0.0066,0.0077,0.0101,0.0108,0.0112,0.0116,0.0101,0.0145,0.0134,0.0192,0.0119,0.0144,0.0145,0.0159,0.0212,0.0223,0.0243,0.0499,0.0516,0.0527,0.0527,0.058,0.061,0.0611,0.0673,0.0703,0.0725,0.0501,0.0478,0.0517,0.0551,0.0554,0.0586,0.0673,0.0735,0.0813,0.0951,0.1037,0.0761,0.0795,0.0919,0.1015,0.1064,0.1134,0.1002,0.1055,0.1258,0.0937,0.104,0.1066,0.1136
South America,Argentina,ARG,,,,,,,,,,,23.6034,23.6034,24.9782,25.528,25.9163,24.4292,24.6264,26.0888,26.6111,28.6913,29.7014,29.4984,29.8857,30.0023,29.4353,27.22,28.255,28.9874,27.4774,27.5606,28.3437,29.9656,32.0013,34.2761,33.7871,35.2107,40.9995,40.9677,43.5938,40.9665,39.8377,36.6253,33.8385,34.558,37.1677,37.7144,40.5477,43.8822,45.8478,42.021,44.1992,45.6703,44.8214,47.736,44.0604,46.2782,45.2497,46.4311,47.7877,47.4694,37.7662,46.9494,49.2634,47.4454
Asia,Armenia,ARM,,,,,,,,,,,0.9627,0.9627,1.0574,1.1486,1.2572,1.3841,1.4959,1.5236,1.5618,1.6214,1.7535,1.7592,1.7578,1.7288,1.7106,1.7132,1.8376,1.8866,1.9083,1.9607,2.9619,2.8967,1.8295,1.1892,0.1586,0.1128,0.061,0.064,0.0671,0.0701,0.5702,0.5672,0.5428,0.5854,0.6072,0.6716,0.665,1.059,1.2584,1.1427,1.263,1.2949,1.3008,1.2782,1.7057,1.6559,1.5801,1.6736,1.8011,2.0588,2.261,2.3661,2.3845,2.4744
Oceania,Australia,AUS,,,,,,,,,,,32.4797,33.3739,34.3398,38.0723,39.1623,40.7179,42.0194,44.7446,47.2108,48.3325,49.5732,50.4279,51.5766,51.0273,53.2295,54.774,56.2362,57.1846,59.3872,61.2214,62.029,60.5851,62.0802,63.1851,64.8301,67.5402,70.0234,71.3855,71.3879,72.7735,75.0143,74.417,76.1324,76.4084,79.1821,79.3334,81.2516,83.5781,85.2988,84.9395,87.6345,89.7726,90.4324,91.834,92.0252,91.9222,93.2764,94.8631,97.2719,97.0408,90.5044,87.607,89.2178,95.6792
Europe,Austria,AUT,,,,,,,,,,,8.8055,9.5449,10.4285,11.1489,10.2942,10.388,10.5704,11.0223,11.7574,12.3722,11.5424,10.8632,10.7833,11.1486,10.8959,11.1173,11.508,11.6903,12.4697,12.9634,13.6317,15.0539,15.0789,15.2299,15.2851,15.5076,17.1317,16.2002,18.3042,17.82,18.5603,20.0491,21.9393,23.5213,23.8499,24.5497,23.3986,23.587,22.5545,21.719,22.5295,21.7208,21.6553,23.1161,22.6591,23.1665,23.9933,24.5485,24.7957,24.8298,21.672,22.334,21.1922,21.1419
Asia,Azerbaijan,AZE,,,,,,,,,,,2.5232,2.5232,2.7278,2.9064,3.1269,3.4342,3.6276,3.6792,3.7713,3.8794,4.0828,4.1483,4.1855,4.1859,4.2277,4.3223,4.6478,4.8448,4.9473,5.098,6.2034,4.7643,3.9988,3.6903,3.2384,3.3386,2.7058,3.2194,3.0003,1.5724,2.3599,2.603,2.9271,3.1487,3.7865,4.2128,4.8429,3.7783,4.7726,4.2484,4.9517,5.7967,6.4017,7.2931,7.5522,6.7995,6.407,7.7222,8.5101,8.4188,6.8511,7.6891,8.0685,8.3202
Asia,Bahrain,BHR,,,,,,,,,,,0.1801,0.1801,0.218,0.2304,0.2717,0.3638,0.475,0.5858,0.668,0.6155,0.6273,0.7061,0.7721,0.8539,0.8528,0.874,0.8381,0.8342,0.8811,0.9279,0.9908,1.0061,1.1165,1.1566,1.1781,1.2289,1.2567,1.3162,1.3882,1.4412,1.5254,1.5877,1.7808,1.9354,2.1188,2.4819,2.5948,2.8232,3.0894,3.0422,3.1245,2.9441,3.1615,3.2764,3.3746,3.5224,3.5994,3.7103,3.8249,3.7402,3.2941,3.5027,3.5086,3.5207
