Continent,Country Name,Country Code,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Europe,Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1090865307433,2.08596455489916,2.29037335738668,2.24930041443803,2.64213078013752,3.30960409641564,2.30186930325969,2.32996875751021,2.17093342006226,1.81122106300094,2.37027989352753,2.28962609864344,
Asia,United Arab Emirates,ARE,,,,,,,,,,,,,,,2.06959706959707,3.58748426541989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46845934770884,1.55894380400792,1.3365988379667,1.44784327203987,1.63656118429988,1.47823184397501,1.25443572994598,0.319427381953078,0.477474145518944,0.145963311577223,
South America,Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,11.0500979182663,11.360211652384,11.910029724512,12.1800898721051,11.6900615066074,11.6900031535793,11.6699996708686,,,9.54967536609439,13.5349880972578,14.8726235183302,14.8589850804155,15.581093508096,14.5487910885033,15.5255966478411,15.2028464245659,16.1666348175043,16.0776108993997,,12.7111336656205,12.3528111083269,12.0558343449525,11.3194164821809,11.279975705807,12.2333009201751,11.4671252619586,10.9905480068752,11.427197572302,11.4133690312264,11.5990190892728,11.2353821295379,12.6895909038092,12.7552990136388,11.734696640291,12.9044763923807,13.6875578883842,12.7545945322605,12.5466997102117
Asia,Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06161590790853,1.12309399825853,0.907518046834557,1.22152312057548,1.17865634535189,1.13497035832029,1.34804902448066,
Oceania,Australia,AUS,6.80147058823529,6.88504068433132,6.87732342007435,6.72622175512349,7.08386277001271,7.13025580711555,7.07585097829,6.94798108403056,6.79744525547445,6.9453044375645,7.0801419764618,7.07270650932623,6.6986589534578,6.58190419869899,6.72115785089546,7.30312145569308,7.37350049607649,7.38658546107597,,,,,,,,,,,,,,,,,,,,,,,,,,,6.83821075977939,7.02987534097362,7.97786865528025,8.69729299687889,2.58892720718256,2.85871196147849,2.51736467880482,2.63870443009956,2.68208859233057,2.45743339113984,2.58820228659606,2.8537263573469,2.89599345127109,2.94660329885379,3.23065364387678,2.74404972784953
Europe,Austria,AUT,7.77119877188572,7.81910017527723,7.92172111511471,8.13352159479206,8.16023523748489,8.13570057148194,7.72720712919869,7.17699232175524,7.03021082435905,7.4915007327711,7.15179226296429,8.47297867711458,7.58869483054952,6.98727631512659,7.10843797551451,6.91354376204864,7.68244265543581,7.35158748576291,,,,,,,,,,,,,,,,,,,,,,,,,2.98650649852797,2.83893659784396,3.01509874025244,2.52578557345915,3.23569086073572,3.33588109925896,3.12158374364751,2.8415429526621,3.1796130823629,3.75781857846743,3.48143840263643,3.38074987635663,3.25436898725516,3.45979351980852,3.89532262902996,4.01992471066849,3.45639001361551,
Asia,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0160161809187797,0.0200803911501143,0.0276382954452432,0.022045958289384,0.04227838502277,0.0323835954940493,0.036665032646803,0.0115732640675008,0.0122102356149396,0.0104357273661597,0.0292610935799544,0.0537458456650163,0.0585981214137237,
Africa,Burundi,BDI,,,,,,,,,6.08800637057207,7.06576116310575,5.72413992986117,6.33402357949264,9.16670532028387,7.22013603316576,8.10829866741874,5.57183270846877,3.28135991665257,3.1426787989296,,,5.16541892679428,,,2.51697127937337,2.80939983323974,2.29877188899081,1.75942404141725,1.67048677207568,1.54274373124213,,,,,,,,,,,,,,,,3.66470092670598,2.15376123554464,3.30005800286962,3.08204159427868,2.04759161434583,2.2083390259958,2.78920380909449,2.78920380906093,2.78920380915672,,,,,,,
Europe,Belgium,BEL,6.53787448302609,6.63140695723986,6.71809323431839,6.79608173666336,6.83773751596003,7.21703312033854,8.24585965234314,8.57453994720785,9.37348555937858,9.92739407068463,9.99840144207597,10.288498385066,9.59649179700762,9.7483455718913,10.2056978661276,10.3617314992585,10.4308345467984,10.8965552075967,,,,,,,,,,,,,,,,,,,,,,,,,13.8678141912609,,12.3969453586715,11.6265258293328,8.15214608695652,13.304589793822,14.778637913109,10.366969325679,13.2090705216844,12.6128075188892,12.2232082903019,15.6976217481582,13.9635672568833,17.7547190192001,20.8275922884448,23.2034385641247,21.0230399723866,
Africa,Benin,BEN,,,,,,,,,,,,3.09786898184688,3.34143377885784,3.99035299276474,4.35760472308125,3.45724907063197,4.16699119869149,5.69141514283616,6.56698722170992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,Burkina Faso,BFA,,,,,,,,,,,,1.71565942425902,1.71678848407075,1.7803142603024,1.7779670132664,1.79766631553359,1.92727546487992,1.31911154247192,1.34406503702382,1.2795210841392,0.864939494842849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Bangladesh,BGD,,,,,9.91757035784545,12.3492509297222,9.26059423070525,11.0173930319504,12.1123531835978,15.2049393736517,11.9341198734439,12.5740631370382,13.2821082272933,15.5743362996959,13.193484402236,12.3505485024035,16.3302694336524,15.5973554334668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16745806584727,,,,,,2.11775327416561,,,,
Europe,Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0625503810418,2.91524249398892,2.31115344453825,4.62420353542307,2.85639068053179,4.37693738375697,4.67063229786296,2.98295454545455,3.10326377742108,5.73352573352573,5.85088874259381,5.63238982443569,5.67441248107432,2.39611370051861,2.25596262601426,6.09095490047871,2.41965504405013,
Asia,Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6666666666667,18.1533646322379,21.4557564224548,21.8161925601751,23.8071895424837,14.142349591318,12.2585418056927,17.019777157947,14.6548336730916,14.0620279607906,15.9571710749365,14.2382132146117,14.4914033673845,15.1881429243768,13.7210579862591,16.0992811829293,16.0992811816929,16.0992811828927,,,,
,"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,77.5374575162356,,,46.755955212992,18.9346300398007,,13.0804524491938,18.9274507723325,13.2563716642831,22.0089793588091,,,22.2865820677553,7.8665911759323,17.3226945696244,27.5732506442665,,,,,,,,,,,,,,,,,,,,,,,,
Europe,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47965352181304,1.64431602891314,2.40195308974524,2.12108839053719,2.71244513041582,2.3109304191429,2.1834054165081,2.46358472597727,2.70008142279374,2.06340301345611,2.2002257419129,1.73214685631385,
Europe,Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62618446276841,2.44007141825924,2.74508303691571,2.63680152078687,2.55526983686858,2.53121071875295,2.77531345189121,2.6818712596665,
