Continent,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa,Burundi,BDI,70.90509996,71.60192987,73.41959791,78.37119825,85.33372858,50.61330396,51.41287377,54.01814247,54.19497821,55.05883885,68.75435391,69.89828169,68.23219179,84.25810658,93.22400483,110.8848275,115.4921318,137.4480444,148.8232325,186.1522736,209.8057367,212.2303319,216.4361914,225.2095245,200.3757118,228.4405426,234.2812448,215.6083115,201.7404008,203.5789442,202.6294462,204.6682584,184.8689705,165.3441203,161.8925843,164.9153117,143.1567412,160.278342,144.4569483,127.5141958,134.5378618,132.1595545,120.9523086,111.4066828,125.1949652,147.2346193,161.8927556,166.1627449,189.5020746,199.097633,216.7277053,230.0705774,231.6884964,234.8430454,250.5404811,280.9668313,235.2862054,236.6944726,224.8993924,210.2364945,210.0081399,214.0914554,250.6342254,193.0071456
Africa,Benin,BEN,89.85692465,92.08584813,90.77386101,95.71673698,99.7850246,105.1179869,107.6372119,106.5862419,111.2114942,110.3147947,108.8487795,106.8892927,127.927157,153.6094681,164.9465941,196.455786,197.7263611,207.0129622,249.8029262,310.6513871,358.0030542,319.718186,305.0040635,255.9836016,238.5744574,230.4341172,285.7715511,324.2537652,326.1797577,293.3219496,371.1016043,364.689296,301.773297,387.3100548,262.1298074,348.4352389,369.3943841,344.5504915,361.6019831,525.1305972,487.4241414,492.4014995,546.4638297,676.0028781,758.6958038,779.4377778,809.1470725,912.3382472,1060.602545,1024.102779,973.2442545,1059.413589,1071.525836,1168.926993,1204.399187,1002.418869,1010.533896,1054.974081,1151.74097,1130.821353,1197.501364,1318.834978,1264.70766,1394.373302
Africa,Burkina Faso,BFA,69.15024561,72.24237871,77.15292793,78.90877367,80.91478877,82.07461599,82.83606649,84.62720114,84.97378484,86.75553957,81.70756322,84.51493757,99.63358149,114.1376695,124.6714355,152.9015296,155.4854227,175.9638645,223.879112,258.501729,277.5975314,248.7079739,239.0194836,211.9257405,187.8322243,194.0632263,247.4591346,280.2180922,301.1292147,293.1887037,338.5937591,333.7060551,348.5924439,324.1115767,187.2114237,229.0922945,242.7331714,223.8539585,249.5317329,292.8369587,248.9085269,259.4852234,285.6540876,362.3739,403.8128374,441.164148,455.5136556,514.6844512,619.4375333,601.5695207,624.9572522,725.0247677,731.4701389,759.7620652,764.8616751,630.1247508,663.7423648,709.0915359,777.4656185,764.8530778,825.2370388,895.5352884,836.1183046,882.6898101
Africa,Botswana,BWA,58.91800811,62.32240069,65.9864503,68.88641047,73.49257732,79.67907566,89.06157378,100.9451246,113.4457167,131.7765745,163.0318323,212.2442067,264.2337168,374.1894091,446.4878554,493.0294727,490.4695705,564.8317482,695.2193369,909.2071333,1131.63379,1107.028101,1005.624562,1120.532394,1145.029038,993.6167483,1199.846779,1638.826694,2140.514392,2427.68262,2903.153816,2938.594427,3004.612634,2929.43119,2917.255142,3156.181945,3156.268657,3194.181061,2981.196397,3339.99596,3450.811806,3206.071237,3117.250872,4230.123269,4956.692877,5391.070766,5291.583791,5529.125746,5503.073953,5082.933883,6215.732161,7287.382953,6595.53845,6666.912196,7122.364234,6141.203947,6749.059943,7104.964011,7407.959401,7172.089565,6323.314192,7808.20624,8329.040322,7820.232404
Africa,Central African Republic,CAF,65.88296298,70.98812592,70.40422927,71.75518757,77.2050398,80.18450604,82.33746946,83.56296511,95.63983921,91.65870595,90.1578443,94.0721473,105.4680616,121.8248461,124.0003497,163.6446683,192.0969908,213.785551,254.6240877,289.1189382,325.2547703,280.3433918,298.4445449,259.5883945,248.313551,332.5153585,426.0269926,449.9521301,466.0705969,443.2268598,501.6562006,464.8282836,461.5873035,404.9545469,261.2603974,333.1458632,293.3065753,265.5212824,266.5705446,267.995954,239.1541337,237.9517025,248.639291,278.4039922,303.4613212,311.9500231,333.9425199,380.8870488,437.2482747,456.4716739,476.873787,534.0572815,544.3958491,364.3669626,409.850486,366.3228539,387.1762034,432.3240257,455.2439629,449.2284676,462.8790713,492.2631428,467.359825,495.9788972
Africa,Cameroon,CMR,119.0539412,124.5931656,130.0425699,131.6420147,139.2281096,142.7043076,145.8059828,156.6212907,170.7826665,175.1504964,178.488983,186.7248204,220.108721,271.7572901,299.9083395,386.2364503,381.4299153,435.4086563,581.989336,718.356902,784.1162271,749.8475413,732.2507197,745.5131895,771.702146,875.3377217,1178.59375,1258.314128,1145.16556,1000.892613,1086.717009,1014.828973,1005.448976,1309.9363,700.7095019,832.0066745,826.9653223,783.2516019,798.7456214,796.2626498,708.5657316,715.4702965,789.6238111,988.2412768,1133.393267,1142.624663,1191.45459,1325.672482,1492.142698,1461.389992,1398.58702,1513.96057,1449.098744,1575.928821,1649.443391,1415.000097,1441.720173,1496.089518,1610.696416,1555.226605,1555.603707,1672.326573,1604.87727,1736.860911
Africa,Comoros,COM,,,,,,,,,,,,,,,,,,,,,628.3833744,565.2277077,515.2308025,521.7993885,489.0866775,506.566456,699.1864174,822.3532672,845.413856,788.442399,966.3203846,930.9695614,983.3925336,956.0875758,662.0231887,812.2159968,793.5248472,717.727665,716.4322401,727.2583601,655.0077967,691.6999088,762.1169303,959.7878945,1091.272164,1103.206585,1154.904223,1289.736311,1455.027686,1410.30517,1386.574243,1531.437894,1490.315114,1603.327971,1615.717237,1329.370482,1365.484034,1423.924803,1540.711323,1519.263864,1527.16991,1584.124502,1489.495663,1590.312377
Africa,Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,439.9826024,425.4076887,422.664668,410.1126467,385.45142,396.4941915,541.1429856,658.4151914,729.4700128,727.1516856,817.4429255,831.6138876,907.8479095,1220.049979,991.1089744,1165.138323,1179.515227,1133.574226,1186.742948,1326.744669,1189.514793,1223.330553,1328.578743,1717.975654,1929.490815,2004.146804,2256.996662,3324.576752,3908.648858,3659.720464,3579.460061,4002.013869,3736.81517,3960.975968,3985.607065,3415.062667,3608.966066,3893.095723,4294.965105,4380.781192,3539.22662,3971.444074,4323.313627,4850.984158
Africa,Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,846.7855381,,821.6825704,816.8746141,781.9168387,780.4977194,732.7331016,763.6592145,758.7338427,784.5562074,786.2018667,761.9436595,748.2328402,735.3491079,740.2193098,737.6121836,742.1337911,743.0132704,764.6344652,806.2616529,844.4483574,898.4646281,969.5732202,1119.152333,1150.937586,1213.233526,1306.345528,1400.193579,2074.296689,2208.678103,2376.125547,2510.430008,2618.955211,2718.085323,2837.171033,2881.999245,3019.693439,3231.300153,3554.839189
Africa,Algeria,DZA,238.3924767,209.3706727,169.6028627,225.5846602,238.8638015,253.62206,241.4489696,261.7924421,292.4360364,315.9146557,352.8457666,360.1110817,469.0309965,589.5181269,872.8892774,992.3020374,1080.386207,1232.494187,1505.942221,1843.119296,2275.779712,2307.334344,2274.87801,2373.82512,2524.380714,2632.517111,2800.202708,2847.077669,2450.872421,2247.460271,2445.183327,1759.112016,1802.693008,1831.04801,1525.540618,1466.948068,1616.831987,1628.761006,1603.366232,1596.118222,1772.928691,1896.300209,1937.464114,2283.772993,2816.99385,3233.133396,3660.661047,4167.451699,5180.918815,4235.429905,4912.785855,5916.313644,6033.648847,5979.60139,6094.693923,4685.059027,4424.98529,4554.66754,4577.210292,4468.453419,3743.541952,4160.559267,4961.552577,5364.02795
