Continent,Country Name,Country Code,Year,CO2 Emissions,Chemicals (percent of Value added in manufacturing),GDP per Capita (USD)
Africa,Algeria,DZA,2011,34.2189,0.393477524900013,5916.313644
Africa,Algeria,DZA,2012,38.6433,0.45233498198953,6033.648847
Africa,Algeria,DZA,2013,40.2637,0.530543913007825,5979.60139
Africa,Algeria,DZA,2014,43.5052,0.534666247077271,6094.693923
Africa,Algeria,DZA,2015,46.4091,0.829332360014163,4685.059027
Africa,Botswana,BWA,2014,2.2282,7.96790887352334,7122.364234
Africa,Botswana,BWA,2015,2.3091,9.23004052027748,6141.203947
Africa,Botswana,BWA,2016,2.2622,9.01400970835233,6749.059943
Africa,Botswana,BWA,2017,2.3003,9.83201241629946,7104.964011
Africa,Botswana,BWA,2018,2.4587,9.91819260301257,7407.959401
Africa,Botswana,BWA,2019,2.3582,10.0995505778947,7172.089565
Africa,Botswana,BWA,2020,2.1312,10.780653985216,6323.314192
Africa,Botswana,BWA,2021,2.1557,11.1128888807357,7808.20624
Africa,Burundi,BDI,2007,0.1848,3.66470092670598,166.1627449
Africa,Burundi,BDI,2008,0.1092,2.15376123554464,189.5020746
Africa,Burundi,BDI,2009,0.1084,3.30005800286962,199.097633
Africa,Burundi,BDI,2010,0.1577,3.08204159427868,216.7277053
Africa,Burundi,BDI,2011,0.1894,2.04759161434583,230.0705774
Africa,Burundi,BDI,2012,0.1784,2.2083390259958,231.6884964
Africa,Burundi,BDI,2013,0.2011,2.78920380909449,234.8430454
Africa,Burundi,BDI,2014,0.1729,2.78920380906093,250.5404811
Africa,Burundi,BDI,2015,0.1822,2.78920380915672,280.9668313
Africa,Cabo Verde,CPV,2015,0.3978,1.95063127788758,3415.062667
Africa,Cabo Verde,CPV,2016,0.4398,2.45962883390604,3608.966066
Africa,Cabo Verde,CPV,2017,0.467,2.67871507159822,3893.095723
Africa,Cabo Verde,CPV,2018,0.4638,2.42211695091862,4294.965105
Africa,Cameroon,CMR,2001,1.8592,2.15646901840888,715.4702965
Africa,Cameroon,CMR,2002,2.0652,10.158994005704,789.6238111
Africa,Eritrea,ERI,2000,0.2039,6.37761176914265,314.3573968
Africa,Eritrea,ERI,2001,0.2485,5.68829139604367,325.4091615
Africa,Eritrea,ERI,2002,0.2708,8.33937944466383,304.7757565
Africa,Eritrea,ERI,2003,0.2742,7.68344685959983,348.9503271
Africa,Eritrea,ERI,2004,0.2555,7.13540444926566,426.8409479
Africa,Eritrea,ERI,2005,0.1823,7.58794779642466,412.7530792
Africa,Eritrea,ERI,2006,0.1598,10.0912928501599,447.9974047
Africa,Eritrea,ERI,2007,0.1373,5.23655252987398,480.4476237
Africa,Eritrea,ERI,2008,0.1213,10.6370894851175,490.066956
Africa,Eritrea,ERI,2009,0.1181,6.71203273086503,642.9257229
Africa,Eritrea,ERI,2010,0.1404,5.74486414297962,539.6995121
Africa,Eritrea,ERI,2011,0.2365,6.65575282927651,688.6816596
Africa,Eswatini,SWZ,2011,0.5161,0.0874626898773,4312.342434
Africa,Ethiopia,ETH,2000,1.5923,4.7218557119816,122.2692026
Africa,Ethiopia,ETH,2001,1.9896,4.68171779760478,118.4572043
Africa,Ethiopia,ETH,2002,2.0787,5.19587946370115,109.5938136
Africa,Ethiopia,ETH,2003,2.1661,5.20737511233871,116.8004911
Africa,Ethiopia,ETH,2004,2.3409,5.85263385536962,133.1698125
Africa,Ethiopia,ETH,2005,2.1183,5.16863028127804,158.2434581
Africa,Ethiopia,ETH,2006,2.2565,4.41603669977703,189.3457375
Africa,Ethiopia,ETH,2007,2.4525,4.90860375079665,237.146256
Africa,Ethiopia,ETH,2008,2.5352,5.78907209151514,316.4104751
Africa,Ethiopia,ETH,2009,2.6494,7.97282014971107,368.5747123
Africa,Ethiopia,ETH,2010,2.7082,8.09673231035637,330.6194128
Africa,Ethiopia,ETH,2011,2.862,8.889679176776,343.0249424
Africa,Ethiopia,ETH,2012,3.2502,8.52990736499321,452.1010319
Africa,Ethiopia,ETH,2013,3.7997,11.0385090415808,484.0398331
Africa,Ethiopia,ETH,2014,4.2357,10.6215556676665,549.9865771
Africa,Ethiopia,ETH,2015,4.7131,10.6215556661725,621.8456738
Africa,Ghana,GHA,2013,7.2383,0.927990286487427,2294.025645
Africa,Kenya,KEN,2009,4.1653,0.581087820580634,1047.967832
Africa,Kenya,KEN,2010,4.9501,0.546651827639277,1091.518731
Africa,Kenya,KEN,2011,4.6137,0.421185348962568,1096.144998
Africa,Kenya,KEN,2012,4.8999,0.461980830670927,1285.005362
Africa,Kenya,KEN,2013,5.8174,0.270620769699949,1370.878852
Africa,Kenya,KEN,2014,6.4845,0.540150706879951,1482.815663
Africa,Kenya,KEN,2015,7.9867,0.652266132726995,1489.119598
Africa,Kenya,KEN,2016,8.7772,1.96833922124893,1554.126103
Africa,Kenya,KEN,2017,8.5903,1.93374361910519,1667.484472
Africa,Kenya,KEN,2018,9.6699,2.06239166815719,1836.452755
Africa,Kenya,KEN,2019,10.7315,2.04267636196411,1960.408089
Africa,Kenya,KEN,2020,10.3995,2.16635288108441,1927.66459
Africa,Madagascar,MDG,2001,0.8657,1.83579745799596,319.2832782
Africa,Madagascar,MDG,2002,0.6008,2.10918659106168,304.9417774
Africa,Madagascar,MDG,2003,0.8365,1.7516973585145,352.6200958
Africa,Madagascar,MDG,2004,0.886,1.73747533198946,272.2007486
Africa,Madagascar,MDG,2005,0.847,1.63854688208519,305.8120749
Africa,Madagascar,MDG,2006,0.8162,2.05970856821253,324.1468749
Africa,Malawi,MWI,2017,0.5682,0.7217477838157,495.7696834
Africa,Malawi,MWI,2018,0.6537,0.443018135213965,533.2031737
Africa,Malawi,MWI,2019,0.7565,0.661049718814276,580.8898161
Africa,Mauritius,MUS,2007,0.8319,4.39838755135804,6574.663576
Africa,Mauritius,MUS,2008,0.8384,5.19031141868512,8030.052281
Africa,Mauritius,MUS,2009,0.8695,5.13675783855904,7318.12641
Africa,Morocco,MAR,2019,18.9527,3.60997133702192,3508.097656
Africa,Namibia,NAM,2017,2.0431,4.75126419364893,5143.960723
Africa,Namibia,NAM,2018,2.0646,4.47690083130334,5308.608134
Africa,Namibia,NAM,2019,2.0473,4.61607615679496,4731.921032
Africa,Namibia,NAM,2020,1.8729,5.58739856492152,3878.58983
Africa,Namibia,NAM,2021,1.9174,5.17716760762762,4412.835569
Africa,Niger,NER,2000,0.3492,50.5286701911346,194.7719599
Africa,Niger,NER,2001,0.3616,44.9163732394366,205.4179361
Africa,Niger,NER,2002,0.3649,24.7716894977169,225.2943911
Africa,Rwanda,RWA,2014,0.5271,9.93788819875776,724.9575212
Africa,Rwanda,RWA,2015,0.6237,4.9039098740888,733.998585
Africa,Rwanda,RWA,2016,0.5688,5.28952113804849,729.5191542
Africa,Rwanda,RWA,2017,0.5626,5.73992549949204,758.301003
Africa,Rwanda,RWA,2018,0.524,6.37419749312137,771.773522
Africa,Rwanda,RWA,2019,0.6105,7.47565148723348,810.0514202
Africa,Rwanda,RWA,2020,0.5809,6.87843616371411,778.7015386
Africa,Rwanda,RWA,2021,0.6431,7.25533187163644,828.8330328
Africa,Senegal,SEN,2008,2.1852,2.60908079582726,1398.79218
Africa,Senegal,SEN,2009,1.9514,3.06038831041943,1308.694043
Africa,Senegal,SEN,2010,2.0604,2.88375645786055,1275.883575
Africa,Senegal,SEN,2011,2.1984,2.72177498825214,1374.675919
Africa,Senegal,SEN,2012,2.1021,3.27602844474124,1326.837988
Africa,Senegal,SEN,2013,2.3322,3.72011111244752,1379.831966
Africa,Senegal,SEN,2014,2.449,-15.0025240948606,1398.891376
Africa,Senegal,SEN,2015,2.7179,-0.328301912368084,1218.006136
Africa,Senegal,SEN,2016,2.9637,8.0530028015384,1266.439572
Africa,Senegal,SEN,2017,2.625,1.59718852408096,1356.805184
Africa,Senegal,SEN,2018,2.8967,1.48310623709636,1452.556126
Africa,Senegal,SEN,2019,3.0957,1.50461509376002,1431.181289
Africa,South Africa,ZAF,2000,35.1803,6.52519320404459,3217.846934
Africa,South Africa,ZAF,2001,36.0054,6.58311994437755,2847.151919
Africa,South Africa,ZAF,2002,36.7912,6.62436487679206,2688.23676
Africa,South Africa,ZAF,2003,38.9773,6.5932181978958,4062.21756
Africa,South Africa,ZAF,2004,41.255,6.44349440703046,5221.463337
Africa,South Africa,ZAF,2005,43.2016,6.45491210127169,5836.876633
Africa,South Africa,ZAF,2006,44.3515,6.67808356411204,6077.382934
Africa,South Africa,ZAF,2007,48.7521,6.55468572162475,6591.85536
Africa,South Africa,ZAF,2008,47.0532,6.41148718671376,6184.754743
Africa,South Africa,ZAF,2009,45.0708,6.69154843805585,6374.7056
Africa,South Africa,ZAF,2010,46.4991,6.89806599091647,7973.471958
Africa,South Africa,ZAF,2011,48.7816,6.99650601051138,8646.055711
Africa,South Africa,ZAF,2012,48.8432,6.99650601064296,8076.976785
Africa,South Africa,ZAF,2013,53.6493,6.99650601055547,7331.654674
Africa,South Africa,ZAF,2014,51.2065,6.99650601061758,6856.731371
Africa,South Africa,ZAF,2015,53.554,6.99650601056755,6112.273825
Africa,South Africa,ZAF,2016,50.923,6.99650601060983,5651.205852
Africa,South Africa,ZAF,2017,55.411,6.99650601052219,6618.335083
Africa,South Africa,ZAF,2018,54.2412,6.99650601053145,6914.178032
Africa,South Africa,ZAF,2019,51.6741,6.99650601052789,6533.71121
Africa,South Africa,ZAF,2020,44.3114,6.99650601054159,5580.603831
Africa,South Africa,ZAF,2021,48.2214,6.99650601053992,6843.399419
